11000 3
0.135550 0.152830 0.256711 
0.242779 0.201164 0.129348 
0.316548 0.413066 0.644961 
0.713540 0.355753 0.513795 
0.614063 0.331411 0.312363 
0.646348 0.734144 0.625867 
0.633754 0.406700 0.553012 
0.481494 0.631692 0.722154 
0.167779 0.272327 0.272059 
0.229664 0.522684 0.497789 
0.466186 0.696347 0.667415 
0.443868 0.570988 0.501089 
0.567871 0.697654 0.572985 
0.391101 0.421446 0.386932 
0.559449 0.341890 0.539322 
0.342126 0.269951 0.273072 
0.739626 0.743935 0.809661 
0.655977 0.625139 0.621096 
0.356948 0.345712 0.309440 
0.646722 0.577648 0.775763 
0.308222 0.283069 0.323606 
0.432604 0.689335 0.278518 
0.478238 0.578625 0.683228 
0.733161 0.582174 0.459565 
0.514214 0.659966 0.730273 
0.525948 0.650596 0.640136 
0.292218 0.481364 0.396563 
0.287654 0.217585 0.343130 
0.172937 0.128630 0.208973 
0.408394 0.412153 0.487808 
0.338497 0.200538 0.330320 
0.635131 0.692855 0.698019 
0.561302 0.371938 0.497357 
0.329155 0.295089 0.389713 
0.437003 0.355244 0.475533 
0.301574 0.401860 0.408947 
0.380654 0.361396 0.404631 
0.319994 0.432547 0.375154 
0.887000 0.825662 0.893408 
0.364936 0.216773 0.345304 
0.585041 0.512254 0.360758 
0.548919 0.359850 0.421660 
0.560585 0.612430 0.572208 
0.702149 0.657150 0.779375 
0.579973 0.622049 0.596140 
0.539656 0.420434 0.725726 
0.432155 0.779767 0.547272 
0.637494 0.760610 0.745708 
0.707631 0.717169 0.481203 
0.532034 0.675083 0.652253 
0.214007 0.358305 0.397466 
0.642589 0.719902 0.620676 
0.173896 0.205771 0.208952 
0.721831 0.547440 0.818147 
0.432741 0.567119 0.572757 
0.260850 0.348130 0.259783 
0.251110 0.650860 0.476384 
0.532729 0.462652 0.397819 
0.677756 0.484518 0.362306 
0.817238 0.729839 0.748042 
0.548481 0.788471 0.597204 
0.517834 0.439974 0.581536 
0.501709 0.666264 0.416391 
0.798114 0.603974 0.567946 
0.696751 0.683722 0.588175 
0.697644 0.492747 0.579986 
0.504351 0.571184 0.544363 
0.564289 0.527364 0.658222 
0.162954 0.116918 0.239081 
0.497887 0.324775 0.673109 
0.163821 0.186610 0.161181 
0.706796 0.395952 0.489400 
0.592179 0.479654 0.707838 
0.777307 0.753429 0.600387 
0.470958 0.723082 0.612927 
0.621810 0.705042 0.436826 
0.786479 0.828668 0.788246 
0.337894 0.469686 0.471981 
0.644179 0.763873 0.837963 
0.501573 0.588892 0.785285 
0.397275 0.411686 0.476402 
0.360176 0.246711 0.360615 
0.720268 0.467609 0.493518 
0.157256 0.431182 0.466287 
0.252226 0.370126 0.421709 
0.783509 0.126007 0.472381 
0.239762 0.528967 0.264887 
0.258449 0.250552 0.317898 
0.204862 0.283868 0.301376 
0.673196 0.447148 0.499354 
0.488010 0.418090 0.242949 
0.350127 0.680179 0.743481 
0.675160 0.592436 0.697630 
0.874305 0.712073 0.735595 
0.733550 0.741838 0.566929 
0.683001 0.648245 0.578087 
0.294222 0.085754 0.357949 
0.705174 0.786415 0.618413 
0.226139 0.225925 0.136094 
0.373082 0.354645 0.420170 
0.608340 0.763891 0.597220 
0.250071 0.113755 0.129021 
0.439567 0.290817 0.507898 
0.591181 0.539183 0.282640 
0.652481 0.557321 0.598716 
0.362468 0.337125 0.452701 
0.617494 0.771345 0.752995 
0.644356 0.524713 0.290169 
0.543405 0.714020 0.595531 
0.534258 0.397340 0.458566 
0.595268 0.554816 0.840404 
0.276600 0.319429 0.219941 
0.521295 0.463204 0.640911 
0.217005 0.483542 0.378204 
0.199681 0.317855 0.300054 
0.555098 0.564759 0.197254 
0.279883 0.279204 0.269979 
0.445628 0.468884 0.148233 
0.575895 0.576057 0.700087 
0.530286 0.348161 0.243247 
0.675942 0.438536 0.552585 
0.283436 0.559067 0.689057 
0.672917 0.790316 0.794737 
0.521389 0.235673 0.606658 
0.238688 0.100717 0.267046 
0.444848 0.568503 0.373706 
0.305637 0.455340 0.354992 
0.489635 0.258533 0.387270 
0.639462 0.861117 0.548986 
0.599206 0.635869 0.500248 
0.551331 0.443667 0.722116 
0.561777 0.530441 0.643024 
0.130653 0.257750 0.133321 
0.212232 0.406564 0.272024 
0.681215 0.350120 0.699060 
0.671163 0.484705 0.629795 
0.479922 0.436249 0.394804 
0.587103 0.406939 0.392968 
0.636835 0.661078 0.508371 
0.285458 0.383714 0.440827 
0.609180 0.320702 0.618961 
0.441889 0.663842 0.698567 
0.399023 0.430408 0.328726 
0.717897 0.490237 0.457887 
0.312252 0.261843 0.426040 
0.772211 0.766666 0.805335 
0.359764 0.515610 0.665495 
0.500307 0.552037 0.683744 
0.399946 0.369020 0.407472 
0.333048 0.325725 0.370742 
0.861041 0.906973 0.912089 
0.468198 0.414918 0.360208 
0.427506 0.487607 0.334515 
0.292840 0.441460 0.585947 
0.839132 0.563870 0.558696 
0.730262 0.669790 0.783813 
0.347850 0.648292 0.308753 
