5000 3
0.313997 0.186424 0.184448 
0.214038 0.713571 0.731588 
0.306915 0.177888 0.465911 
0.758793 0.570392 0.602144 
0.461374 0.889514 0.081741 
0.328558 0.122832 0.275760 
0.951723 0.605010 0.716706 
0.851996 0.189006 0.417360 
0.213688 0.854109 0.680081 
0.569191 0.463876 0.710631 
0.634791 0.777873 0.897055 
0.819240 0.991911 0.610625 
0.550827 0.298825 0.788513 
0.016738 0.057618 0.358906 
0.618882 0.518992 0.248420 
0.700623 0.847550 0.371252 
0.976383 0.799273 0.976262 
0.693089 0.651269 0.165268 
0.110449 0.864957 0.019377 
0.790530 0.434148 0.483253 
0.501161 0.068939 0.261125 
0.398216 0.888179 0.253036 
0.008841 0.439006 0.551861 
0.797354 0.455744 0.609480 
0.156260 0.074626 0.128472 
0.404680 0.775249 0.976021 
0.775931 0.751632 0.775294 
0.752193 0.444721 0.426564 
0.917461 0.555170 0.291521 
0.936838 0.345700 0.725669 
0.420091 0.846861 0.794608 
0.681216 0.245077 0.682787 
0.934252 0.253918 0.121793 
0.486113 0.051273 0.577538 
0.095593 0.207533 0.652164 
0.224065 0.612213 0.427413 
0.200086 0.388144 0.179046 
0.975380 0.140338 0.623767 
0.401944 0.057799 0.178938 
0.693465 0.994636 0.524638 
0.419134 0.414727 0.371499 
0.213742 0.095943 0.616576 
0.896529 0.030195 0.870494 
0.018322 0.516308 0.921766 
0.595860 0.611901 0.129299 
0.248024 0.835966 0.741512 
0.675437 0.036052 0.129656 
0.854483 0.011433 0.269994 
0.478250 0.413377 0.327792 
0.657188 0.106842 0.322429 
0.181825 0.525975 0.737156 
0.553324 0.739717 0.833099 
0.169900 0.636246 0.863294 
0.040394 0.654568 0.379602 
0.962161 0.250428 0.991503 
0.091460 0.498452 0.827470 
0.832972 0.173889 0.863522 
0.962628 0.028372 0.874955 
0.232621 0.506622 0.288331 
0.560414 0.163810 0.395173 
0.882842 0.345635 0.921148 
0.619998 0.898960 0.660865 
0.453097 0.068860 0.297111 
0.316390 0.109254 0.951679 
0.695992 0.071415 0.202107 
0.687496 0.162874 0.700559 
0.514965 0.995846 0.874449 
0.378487 0.958474 0.902821 
0.253442 0.191095 0.409443 
0.541773 0.751509 0.573253 
0.936946 0.634351 0.918888 
0.858094 0.254349 0.817847 
0.518960 0.707446 0.886707 
0.816071 0.023836 0.995961 
0.767750 0.719829 0.067376 
0.969857 0.407325 0.230250 
0.670417 0.922290 0.226096 
0.544865 0.300777 0.184570 
0.447686 0.554219 0.375665 
0.857129 0.095992 0.127174 
0.430382 0.032938 0.761525 
0.349270 0.891033 0.015874 
0.167117 0.409992 0.723320 
0.053824 0.226063 0.747156 
0.049785 0.993813 0.466985 
0.117161 0.963670 0.874309 
0.347411 0.634087 0.796600 
0.573507 0.178953 0.097377 
0.758076 0.626639 0.651596 
0.133741 0.483768 0.747588 
0.260915 0.914150 0.780527 
0.022440 0.263420 0.671559 
0.038313 0.430537 0.081552 
0.761633 0.484360 0.307615 
0.508789 0.534146 0.301428 
0.975774 0.651306 0.265098 
0.850084 0.998717 0.899186 
0.646683 0.572223 0.078139 
0.744060 0.330300 0.704778 
0.395656 0.464041 0.188546 
0.143244 0.724956 0.102696 
0.923771 0.747396 0.366116 
0.595330 0.785709 0.796652 
0.676882 0.547342 0.281013 
0.984497 0.056131 0.815158 
0.285925 0.031906 0.466464 
0.551023 0.881989 0.465181 
0.450208 0.528672 0.037405 
0.528347 0.272732 0.367705 
0.233125 0.668388 0.831746 
0.421671 0.811633 0.556702 
0.524366 0.735403 0.304097 
0.890482 0.330734 0.089806 
0.687134 0.007616 0.637149 
0.968147 0.992112 0.693280 
0.783305 0.278037 0.725185 
0.249769 0.829060 0.607175 
0.714950 0.279268 0.135847 
0.752355 0.807615 0.408579 
0.120060 0.040740 0.076968 
0.951805 0.462410 0.888600 
0.508507 0.986777 0.624004 
0.812605 0.877259 0.954737 
0.902411 0.564393 0.962353 
0.539559 0.532540 0.954465 
0.232839 0.315845 0.232502 
0.958025 0.565614 0.061562 
0.565199 0.280565 0.340830 
0.701046 0.032920 0.148446 
0.109626 0.152980 0.189186 
0.186593 0.104785 0.651596 
0.075193 0.613292 0.638373 
0.699197 0.425897 0.515632 
0.653934 0.328308 0.080025 
0.616287 0.867867 0.612565 
0.570753 0.100707 0.928410 
0.803255 0.058731 0.494025 
0.864817 0.623931 0.774590 
0.205647 0.324977 0.807510 
0.354093 0.434603 0.960489 
0.543279 0.621196 0.065275 
0.194875 0.696390 0.678567 
0.833248 0.395587 0.104464 
0.348880 0.049521 0.432772 
0.428905 0.665808 0.300639 
0.041470 0.236561 0.401346 
0.969881 0.039816 0.460077 
0.463906 0.904633 0.084008 
0.238495 0.110280 0.408985 
0.046005 0.464373 0.843588 
0.006494 0.007652 0.464784 
0.071769 0.202527 0.161174 
0.750336 0.035774 0.556761 
0.854800 0.384654 0.606282 
0.287572 0.813559 0.272090 
0.588211 0.855029 0.508651 
0.989557 0.824910 0.548466 
0.449634 0.288816 0.453099 
0.533642 0.527311 0.563379 
0.942627 0.573316 0.027752 
0.786215 0.579810 0.035404 
0.250999 0.651579 0.237930 
0.412173 0.401915 0.273705 
0.968934 0.256715 0.658359 
0.575215 0.544287 0.471918 
0.847305 0.132498 0.326947 
0.355956 0.122054 0.151857 
0.904422 0.571688 0.440673 
0.357520 0.105330 0.967984 
0.920899 0.047956 0.541300 
0.948651 0.834171 0.121111 
0.984054 0.085170 0.772690 
0.221984 0.497343 0.174605 
0.495689 0.466277 0.431320 
0.154048 0.041492 0.975608 
0.625965 0.888798 0.108105 
0.952913 0.244753 0.230160 
0.104770 0.149175 0.801848 
0.545443 0.506696 0.907178 
0.513428 0.427595 0.955134 
0.054728 0.376246 0.789305 
0.175839 0.360300 0.874475 
0.948529 0.582284 0.371819 
0.123134 0.077973 0.838096 
