9000 3
0.341131 0.663030 0.436103 
0.589511 0.647182 0.428307 
0.781362 0.492220 0.108936 
0.475972 0.224444 0.786060 
0.178939 0.978664 0.215412 
0.066086 0.569471 0.968757 
0.312110 0.576414 0.360180 
0.698439 0.475482 0.253473 
0.090492 0.695284 0.820333 
0.459841 0.863963 0.053814 
0.597171 0.306186 0.595417 
0.937996 0.429898 0.153339 
0.822250 0.392272 0.341084 
0.618503 0.715776 0.231416 
0.269923 0.273045 0.736810 
0.181562 0.495112 0.938018 
0.276396 0.623608 0.569514 
0.147834 0.156636 0.943410 
0.567301 0.355275 0.582181 
0.564799 0.538788 0.362555 
0.481483 0.537823 0.517923 
0.485697 0.412420 0.755767 
0.604927 0.794472 0.247748 
0.311552 0.427863 0.709917 
0.391378 0.524613 0.698674 
0.142423 0.636877 0.651753 
0.560435 0.302558 0.686292 
0.887665 0.668018 0.079432 
0.876340 0.472961 0.529512 
0.356353 0.894178 0.399694 
0.711679 0.000376 0.770326 
0.259013 0.758318 0.531384 
0.273444 0.591995 0.796341 
0.613458 0.171797 0.675846 
0.011664 0.949967 0.391091 
0.147307 0.605502 0.582006 
0.185853 0.797643 0.434786 
0.519912 0.573274 0.545569 
0.484166 0.589953 0.313412 
0.749828 0.160419 0.470740 
0.617516 0.069086 0.755816 
0.730669 0.248268 0.347643 
0.354983 0.132561 0.988299 
0.592385 0.492333 0.383508 
0.296594 0.943306 0.319905 
0.800403 0.444004 0.414886 
0.048731 0.882003 0.460373 
0.446722 0.624174 0.503364 
0.627387 0.375666 0.288208 
0.684979 0.314455 0.691183 
0.630800 0.590189 0.329615 
0.733860 0.754586 0.049454 
0.294958 0.637492 0.477057 
0.762523 0.343756 0.328255 
0.793834 0.604048 0.065383 
0.169259 0.755182 0.449914 
0.378112 0.651361 0.510804 
0.230612 0.692443 0.596113 
0.521817 0.234744 0.835485 
0.522753 0.552038 0.486805 
0.892282 0.190098 0.580605 
0.548532 0.632211 0.354896 
0.208655 0.630151 0.606017 
0.323464 0.740507 0.504861 
0.814936 0.543943 0.043197 
0.331720 0.987535 0.071788 
0.201818 0.640777 0.596192 
0.362642 0.903331 0.402298 
0.905677 0.259464 0.294543 
0.306657 0.982912 0.259720 
0.493437 0.335261 0.771667 
0.480689 0.200262 0.815063 
0.685732 0.366681 0.391576 
0.980818 0.292363 0.217121 
0.503326 0.397605 0.386951 
0.459069 0.541558 0.803404 
0.105493 0.767170 0.617192 
0.269152 0.951476 0.274442 
0.774132 0.287206 0.498881 
0.374175 0.989474 0.225653 
0.584771 0.519709 0.310714 
0.661431 0.731212 0.170963 
0.421518 0.547225 0.425684 
0.281103 0.202814 0.963444 
0.853186 0.092294 0.484264 
0.228784 0.550273 0.791630 
0.506400 0.317452 0.601099 
0.255704 0.184643 0.898161 
0.694497 0.795321 0.151000 
0.637296 0.077177 0.700357 
0.278687 0.452655 0.487286 
0.443638 0.866245 0.018838 
0.642038 0.169139 0.720124 
0.830876 0.153969 0.699633 
0.753381 0.119217 0.507898 
0.544151 0.018207 0.940935 
0.867824 0.575753 0.057337 
0.684265 0.366475 0.375833 
0.527013 0.177665 0.680670 
0.478762 0.362222 0.755461 
0.326714 0.587989 0.596843 
0.657290 0.442213 0.529041 
0.879432 0.136083 0.546796 
0.435857 0.365916 0.657305 
0.378789 0.356066 0.810211 
0.585958 0.477682 0.349175 
0.942332 0.512640 0.079562 
0.281969 0.508019 0.695153 
0.604159 0.334379 0.593948 
0.117131 0.838454 0.415953 
0.290769 0.633438 0.507516 
0.158146 0.470781 0.839216 
0.693180 0.384902 0.250272 
0.761961 0.481830 0.486140 
0.329858 0.847116 0.570416 
0.418914 0.891299 0.397218 
0.045513 0.738450 0.615873 
0.262185 0.845255 0.626496 
0.008213 0.586443 0.735366 
0.463469 0.592781 0.433424 
0.181218 0.635492 0.567235 
0.743241 0.196828 0.532422 
0.120254 0.627588 0.758145 
0.496590 0.829085 0.326671 
0.722733 0.118918 0.666963 
0.114407 0.698592 0.583070 
0.110896 0.706360 0.697336 
0.731994 0.054135 0.651148 
0.280314 0.246507 0.893442 
0.182093 0.674055 0.633240 
0.648063 0.116893 0.551287 
0.191614 0.970954 0.214102 
0.783740 0.308894 0.583771 
0.385403 0.755921 0.415225 
0.091432 0.531082 0.880690 
0.443102 0.666778 0.512153 
0.530371 0.453723 0.638741 
0.745767 0.238788 0.579235 
0.310643 0.254935 0.885459 
0.073984 0.829880 0.497025 
0.060599 0.641026 0.830747 
0.835612 0.448605 0.141591 
0.185914 0.726666 0.623471 
0.035332 0.455077 0.802241 
0.992432 0.034021 0.634156 
0.073186 0.702059 0.774446 
0.637380 0.546189 0.560489 
0.296897 0.883904 0.284303 
0.211412 0.974770 0.375019 
0.467332 0.846889 0.043408 
0.403178 0.561785 0.574307 
0.223971 0.663406 0.633317 
0.824600 0.251654 0.450247 
0.116712 0.714638 0.498513 
0.452696 0.342375 0.678976 
0.350317 0.728096 0.399684 
0.264343 0.870129 0.240016 
0.179307 0.451287 0.634125 
0.201531 0.523303 0.754494 
0.344600 0.714033 0.575309 
0.667136 0.238702 0.738954 
0.569641 0.827634 0.242914 
0.430322 0.617660 0.485601 
0.281278 0.495754 0.524872 
0.068447 0.415795 0.970027 
0.240380 0.790247 0.296105 
0.418860 0.579284 0.504594 
0.814507 0.497124 0.225103 
0.787770 0.380639 0.442356 
0.797405 0.010918 0.683575 
0.133410 0.823769 0.528605 
0.542104 0.016138 0.845662 
0.412381 0.512126 0.607559 
0.870964 0.605899 0.030041 
0.440323 0.521576 0.510393 
0.474778 0.607468 0.248919 
0.661776 0.483535 0.301107 
0.442246 0.234672 0.807136 
0.325084 0.594258 0.771350 
0.120715 0.496424 0.919048 
0.385459 0.335506 0.875139 
0.307846 0.498480 0.735653 
0.481348 0.763726 0.192839 
0.307961 0.440924 0.933241 
0.649921 0.609980 0.292251 
0.240933 0.887927 0.406043 
0.826553 0.509031 0.022321 
0.336211 0.309696 0.889353 
0.223188 0.492016 0.813504 
0.575753 0.012517 0.937022 
0.378231 0.381468 0.786514 
0.721012 0.447995 0.276625 
0.175718 0.708580 0.394277 
0.530118 0.225933 0.662659 
0.695654 0.541414 0.359698 
0.497521 0.219268 0.585419 
0.717958 0.257648 0.417763 
0.287065 0.752434 0.259390 
0.054260 0.833726 0.567248 
0.020307 0.744185 0.857791 
0.776046 0.388112 0.499339 
0.146937 0.521798 0.597353 
0.074562 0.843707 0.590012 
0.319875 0.449407 0.540501 
0.872998 0.310888 0.498871 
0.633300 0.735137 0.263494 
0.808593 0.536229 0.123965 
0.507219 0.634812 0.571793 
0.788751 0.447649 0.247879 
0.420338 0.488040 0.608218 
0.503760 0.385719 0.685187 
0.242265 0.830722 0.453701 
0.232432 0.540176 0.607945 
0.916146 0.334715 0.223501 
0.463817 0.466740 0.669197 
0.060842 0.758121 0.591442 
0.538183 0.780423 0.299849 
0.787051 0.259427 0.674567 
0.945928 0.835254 0.014694 
0.630781 0.397930 0.310429 
0.303206 0.547909 0.697846 
0.823469 0.726174 0.092532 
0.499802 0.293236 0.674045 
0.361607 0.711038 0.520559 
0.753842 0.649815 0.289547 
0.507487 0.506261 0.530108 
