11000 3
0.817250 0.472668 0.738222 
0.726243 0.798695 0.253297 
0.434988 0.567261 0.142077 
0.690209 0.096897 0.144013 
0.139743 0.695293 0.832321 
0.209099 0.724111 0.915289 
0.007139 0.986708 0.015233 
0.855920 0.523660 0.721727 
0.767027 0.013453 0.208886 
0.985650 0.158832 0.428082 
0.201605 0.976082 0.900751 
0.939828 0.702326 0.699445 
0.193125 0.137314 0.266706 
0.335202 0.827523 0.363603 
0.479215 0.967266 0.058896 
0.311536 0.176366 0.783007 
0.226825 0.183505 0.769716 
0.242058 0.039425 0.293375 
0.963785 0.806452 0.306829 
0.172671 0.792102 0.465661 
0.600753 0.993708 0.441743 
0.501504 0.933535 0.144069 
0.200950 0.126660 0.281383 
0.467656 0.461862 0.108906 
0.831259 0.941077 0.076172 
0.890155 0.252613 0.252538 
0.673162 0.479438 0.436043 
0.442878 0.721496 0.475468 
0.736253 0.685281 0.281920 
0.043082 0.857952 0.074023 
0.508743 0.458705 0.067730 
0.950486 0.960210 0.001266 
0.094556 0.161159 0.127926 
0.375939 0.628815 0.589788 
0.484845 0.460074 0.530866 
0.561017 0.350229 0.783479 
0.813555 0.023391 0.262916 
0.249598 0.466269 0.984412 
0.725066 0.202522 0.669693 
0.006986 0.245604 0.527645 
0.081009 0.754347 0.986350 
0.148739 0.704834 0.946560 
0.150005 0.799389 0.107719 
0.277931 0.175328 0.736534 
0.867720 0.660173 0.196608 
0.398585 0.221190 0.546836 
0.182064 0.034745 0.570227 
0.444980 0.284343 0.036496 
0.429392 0.009408 0.239018 
0.099085 0.016395 0.484621 
0.626730 0.097404 0.238969 
0.613080 0.246143 0.943802 
0.559640 0.396148 0.743191 
0.667358 0.674079 0.918519 
0.403892 0.541799 0.578692 
0.600500 0.940384 0.799882 
0.147336 0.122448 0.834627 
0.717563 0.567428 0.118970 
0.754059 0.996821 0.128378 
0.993077 0.095906 0.144773 
0.477698 0.722636 0.242176 
0.716667 0.335716 0.488319 
0.660469 0.895356 0.884467 
0.403660 0.562715 0.558547 
0.322179 0.966607 0.100346 
0.900872 0.567107 0.040730 
0.700754 0.714443 0.163178 
0.535381 0.432007 0.730606 
0.654350 0.186066 0.727427 
0.782728 0.179142 0.823333 
0.927501 0.656840 0.545969 
0.169678 0.373507 0.881686 
0.657997 0.033976 0.777042 
0.542464 0.437636 0.339757 
0.101011 0.759815 0.306364 
0.201357 0.660686 0.873471 
0.242087 0.361440 0.587914 
0.405265 0.896821 0.019920 
0.135872 0.551171 0.205986 
0.863299 0.333900 0.385128 
0.686632 0.261401 0.041968 
0.232601 0.431078 0.415475 
0.114287 0.089075 0.449451 
0.891329 0.631540 0.887086 
0.231086 0.732551 0.646901 
0.537449 0.933908 0.307588 
0.410920 0.175995 0.669028 
0.998834 0.581261 0.565848 
