3000 3
0.335301 0.400335 0.410116 
0.475739 0.485481 0.451155 
0.733398 0.779632 0.708543 
0.597157 0.700536 0.447867 
0.476245 0.333865 0.589839 
0.616360 0.489867 0.363268 
0.775240 0.458142 0.605700 
0.320833 0.582494 0.519597 
0.707730 0.647819 0.656503 
0.843841 0.811823 0.793734 
0.285061 0.230734 0.278042 
0.725109 0.674806 0.369890 
0.893614 0.891353 0.827357 
0.208633 0.562574 0.601048 
0.352940 0.288179 0.186030 
0.405688 0.182420 0.295934 
0.470312 0.577431 0.540495 
0.152923 0.310837 0.288102 
0.325931 0.587264 0.215407 
0.274664 0.174517 0.218586 
0.385641 0.596788 0.457143 
0.732578 0.437313 0.267106 
0.630220 0.571192 0.661885 
0.738613 0.779946 0.381705 
0.195895 0.189901 0.252994 
0.772491 0.690401 0.682954 
0.402569 0.662530 0.547981 
0.782249 0.825753 0.742070 
0.621690 0.522523 0.384790 
0.245377 0.209822 0.303465 
0.432729 0.145868 0.245636 
0.350667 0.170135 0.244619 
0.287365 0.553446 0.419622 
0.547371 0.292001 0.562090 
0.714111 0.628260 0.761685 
0.721436 0.711500 0.613811 
0.925770 0.857430 0.892192 
0.164410 0.091732 0.171000 
0.470224 0.610104 0.490457 
0.396264 0.572752 0.700663 
0.298980 0.302873 0.175757 
0.546946 0.342115 0.559225 
0.698286 0.474033 0.408879 
0.276926 0.103072 0.327050 
0.110075 0.082242 0.106918 
0.749359 0.793437 0.382219 
0.816746 0.711010 0.756238 
0.536355 0.536848 0.177372 
0.577557 0.551549 0.694213 
0.845106 0.661478 0.817916 
0.651094 0.660804 0.579871 
0.465745 0.390539 0.419377 
0.427031 0.664486 0.700793 
0.666668 0.680876 0.701103 
0.341171 0.307889 0.433589 
0.417772 0.677383 0.666900 
0.623604 0.665761 0.616426 
0.490473 0.367817 0.621616 
0.587447 0.531178 0.839731 
0.250068 0.178644 0.235198 
0.424681 0.215585 0.181837 
0.717890 0.683343 0.570777 
0.204636 0.414762 0.186668 
0.400219 0.451997 0.498919 
0.118094 0.175674 0.193372 
0.522618 0.549404 0.835675 
0.429659 0.359267 0.372441 
0.722007 0.741511 0.394773 
0.387094 0.261156 0.261638 
0.731383 0.689194 0.764448 
0.370411 0.268117 0.418859 
0.346238 0.324305 0.484220 
0.527901 0.377571 0.780812 
0.470319 0.298433 0.372504 
0.178710 0.559629 0.496667 
0.418156 0.318371 0.356448 
0.745744 0.571189 0.316703 
0.538530 0.595134 0.766863 
0.197463 0.215802 0.185011 
0.650084 0.704364 0.541930 
0.787696 0.701250 0.719808 
0.394792 0.534872 0.388283 
0.744970 0.728977 0.804380 
0.617394 0.657933 0.523349 
0.352124 0.349562 0.336237 
0.486438 0.678160 0.549733 
0.661993 0.765119 0.680221 
0.886221 0.776753 0.715052 
0.420047 0.329408 0.240018 
0.482869 0.616417 0.706933 
0.778133 0.551404 0.791232 
0.485067 0.642383 0.624042 
0.708742 0.664022 0.491065 
0.490439 0.554341 0.548206 
0.464485 0.560282 0.540523 
0.687210 0.761163 0.832809 
0.711797 0.614632 0.360987 
0.566484 0.402005 0.369677 
0.338843 0.495830 0.787821 
0.153462 0.367775 0.193134 
0.590630 0.615529 0.482865 
0.195959 0.634034 0.667798 
0.909207 0.716955 0.752540 
0.757936 0.593211 0.688334 
0.234935 0.289219 0.283029 
0.659399 0.362562 0.254752 
0.794143 0.696769 0.755856 
0.608390 0.310272 0.205705 
0.623396 0.335518 0.677009 
0.248151 0.592783 0.459603 
0.646547 0.614998 0.429389 
0.384993 0.360062 0.291396 
0.525188 0.469773 0.553882 
0.186371 0.158767 0.212983 
0.309984 0.396846 0.268311 
0.363949 0.369450 0.240892 
0.116405 0.193929 0.083815 
0.700267 0.584172 0.463938 
0.787187 0.731201 0.399290 
0.421720 0.827078 0.635279 
0.604197 0.381408 0.456294 
0.614614 0.510678 0.721400 
0.699163 0.746363 0.646030 
0.262789 0.307874 0.739640 
0.510550 0.263407 0.458792 
0.566096 0.583335 0.511004 
0.192589 0.169956 0.371311 
0.689027 0.786823 0.803652 
0.603410 0.633463 0.788255 
0.556891 0.580667 0.494904 
0.265877 0.227631 0.289427 
0.543676 0.782990 0.723671 
0.515337 0.476701 0.598150 
0.780510 0.840679 0.809962 
0.830456 0.871339 0.783396 
0.652991 0.505149 0.276447 
0.736687 0.728979 0.738985 
0.664786 0.584987 0.736410 
0.654496 0.716622 0.635378 
0.539444 0.609985 0.487086 
0.618128 0.706705 0.634244 
0.486717 0.285436 0.229525 
0.335128 0.557926 0.340743 
0.472898 0.613783 0.192411 
0.620560 0.587540 0.627766 
0.494123 0.341147 0.590351 
0.488871 0.593614 0.285252 
0.416515 0.697620 0.371237 
0.436119 0.366742 0.473062 
0.577110 0.321488 0.550552 
0.201139 0.434380 0.450940 
0.199404 0.363492 0.394912 
0.528089 0.634698 0.479141 
0.862385 0.648257 0.589684 
0.701893 0.599183 0.659584 
0.745973 0.744139 0.636854 
0.446331 0.388093 0.500132 
0.635855 0.410523 0.674459 
0.483892 0.556269 0.759789 
0.143634 0.287506 0.164380 
0.461363 0.119962 0.435983 
0.425683 0.525648 0.513066 
0.280250 0.407046 0.225308 
0.366935 0.436964 0.390370 
0.735801 0.494652 0.370859 
0.449306 0.246340 0.470459 
0.649029 0.528261 0.623022 
0.309395 0.571638 0.570092 
0.658719 0.446524 0.505977 
0.287405 0.609253 0.400067 
0.508365 0.542426 0.466484 
0.510664 0.564702 0.557378 
0.590968 0.799362 0.559610 
0.653290 0.536304 0.713755 
0.524611 0.656169 0.524131 
0.720292 0.585802 0.602312 
0.773548 0.599396 0.691115 
0.369746 0.391151 0.348198 
0.674097 0.666023 0.519926 
0.465547 0.296671 0.498563 
0.553961 0.619025 0.521436 
0.527993 0.526785 0.232749 
0.151759 0.200188 0.109585 
0.376142 0.530406 0.324875 
0.570663 0.567595 0.586231 
0.490827 0.422930 0.501174 
0.797881 0.871628 0.848078 
0.345890 0.323852 0.302240 
0.205826 0.230958 0.168099 
0.148708 0.410310 0.335613 
0.238721 0.179951 0.276047 
0.851318 0.772588 0.733762 
0.553445 0.316800 0.707218 
0.425269 0.512754 0.516535 
0.172512 0.161811 0.162574 
0.498058 0.476942 0.081486 
0.824237 0.808568 0.917903 
0.672751 0.772738 0.732509 
0.468448 0.545190 0.465093 
0.358878 0.295465 0.388785 
0.488321 0.654578 0.726896 
0.172307 0.251197 0.345812 
0.319915 0.189018 0.420032 
0.485992 0.631239 0.496094 
0.420312 0.242986 0.402802 
0.395770 0.523815 0.663892 
0.499193 0.639723 0.273959 
0.626770 0.751426 0.868938 
0.538950 0.675780 0.829002 
0.156560 0.183716 0.120844 
0.660372 0.725104 0.692597 
0.312908 0.460165 0.558597 
0.587212 0.606781 0.552165 
0.431623 0.435240 0.395510 
0.715308 0.527662 0.638253 
0.561555 0.710096 0.497535 
0.342590 0.180340 0.544765 
0.558192 0.364109 0.437479 
0.691072 0.517407 0.605598 
0.694187 0.748230 0.683875 
0.271216 0.423763 0.377577 
0.529150 0.412925 0.469068 
0.352730 0.588088 0.463213 
0.381517 0.321312 0.440742 
0.567541 0.486116 0.633100 
0.424299 0.366138 0.561419 
0.695029 0.578401 0.483779 
0.162335 0.249849 0.393733 
0.645997 0.312308 0.663654 
