7000 3
0.495493 0.286889 0.555833 
0.318034 0.587463 0.657384 
0.612237 0.153910 0.778463 
0.183311 0.362055 0.836216 
0.455885 0.721443 0.132262 
0.735935 0.794268 0.108239 
0.859843 0.104552 0.684640 
0.883507 0.322352 0.177915 
0.722029 0.840687 0.082531 
0.930425 0.512548 0.173489 
0.248811 0.558029 0.533631 
0.448170 0.286748 0.598305 
0.630265 0.486656 0.280920 
0.860229 0.698550 0.036362 
0.728952 0.428176 0.435487 
0.472077 0.473787 0.597905 
0.407450 0.553579 0.318201 
0.781224 0.409195 0.210396 
0.485451 0.205731 0.862717 
0.380646 0.238494 0.885085 
0.786783 0.565553 0.002118 
0.843565 0.396170 0.302263 
0.479077 0.649943 0.588015 
0.751865 0.546221 0.374755 
0.219135 0.768087 0.499008 
0.550388 0.513441 0.276950 
0.171897 0.637171 0.754058 
0.372911 0.234639 0.974469 
0.791429 0.561770 0.331659 
0.626788 0.987437 0.023305 
0.628507 0.390647 0.187684 
0.590716 0.203518 0.654866 
0.129494 0.681936 0.846124 
0.735671 0.123343 0.637981 
0.432251 0.626537 0.454665 
0.289942 0.604760 0.488508 
0.088490 0.720505 0.774634 
0.806169 0.200308 0.587336 
0.058593 0.653662 0.700558 
0.207926 0.620810 0.580084 
0.433065 0.440751 0.600086 
0.613812 0.555616 0.353277 
0.494313 0.342296 0.641376 
0.471024 0.667767 0.495890 
0.481655 0.678507 0.113938 
0.668789 0.485284 0.250579 
0.439454 0.465530 0.608127 
0.306231 0.796117 0.416841 
0.430688 0.454789 0.453569 
0.348055 0.515527 0.746508 
0.150635 0.559409 0.844161 
0.433938 0.598244 0.828433 
0.910706 0.356161 0.126039 
0.246745 0.850976 0.336503 
0.398329 0.888341 0.242617 
0.178499 0.610033 0.601474 
0.394307 0.532304 0.528651 
0.767344 0.295197 0.514699 
0.367341 0.675994 0.595530 
0.759813 0.261632 0.260336 
0.102877 0.773261 0.708769 
0.641097 0.201428 0.504381 
0.608859 0.111697 0.845205 
0.497586 0.620826 0.235513 
0.951809 0.269292 0.246195 
0.580800 0.364837 0.665383 
0.775947 0.344649 0.216405 
0.040797 0.761246 0.818002 
0.094512 0.517427 0.913555 
0.244710 0.857754 0.456896 
0.746687 0.554920 0.237159 
0.084976 0.507060 0.792069 
0.326862 0.929245 0.146005 
0.620648 0.895718 0.006461 
0.597379 0.872621 0.206378 
0.552456 0.798280 0.029272 
0.033062 0.692122 0.788027 
0.697221 0.271467 0.709115 
0.415343 0.688334 0.438124 
0.921457 0.599095 0.068053 
0.734940 0.376885 0.352842 
0.462988 0.745516 0.414676 
0.352345 0.777967 0.151488 
0.399185 0.497577 0.500677 
0.272480 0.839446 0.507991 
0.254779 0.114679 0.927725 
0.300768 0.749983 0.330756 
0.216089 0.981648 0.261699 
0.740960 0.349822 0.196374 
0.469130 0.526703 0.688620 
0.895178 0.544669 0.113234 
0.160597 0.843651 0.585599 
0.205939 0.799626 0.546854 
0.769626 0.162510 0.862549 
0.644635 0.011089 0.745911 
0.412340 0.948061 0.152140 
0.580598 0.795880 0.272125 
0.878658 0.010880 0.449172 
0.663934 0.329281 0.364788 
0.403789 0.439364 0.557719 
0.677902 0.674145 0.295395 
0.571455 0.078516 0.701688 
0.197650 0.795016 0.664393 
0.907138 0.273389 0.123409 
0.530013 0.138108 0.855144 
0.740832 0.466604 0.204397 
0.118890 0.935963 0.428058 
0.373276 0.412347 0.666160 
0.663263 0.834152 0.142165 
0.811108 0.415955 0.230209 
0.001496 0.787488 0.639741 
0.117220 0.841992 0.674143 
0.650494 0.840942 0.369372 
0.708843 0.522535 0.316679 
0.363624 0.771606 0.229159 
0.561089 0.526974 0.248605 
0.703381 0.593153 0.307492 
0.894629 0.171190 0.412214 
0.115101 0.199585 0.992924 
0.470671 0.440554 0.757356 
0.390656 0.896909 0.160901 
0.672165 0.103699 0.667250 
0.328349 0.469515 0.735954 
0.370869 0.769218 0.222001 
0.052028 0.965515 0.356810 
0.623176 0.426118 0.377338 
0.639007 0.117292 0.828318 
0.652914 0.230455 0.565646 
0.827197 0.202690 0.568664 
0.883340 0.499686 0.028065 
0.830652 0.279660 0.217928 
0.361764 0.851936 0.152236 
0.872274 0.518069 0.126396 
0.137626 0.319238 0.820026 
0.610712 0.603291 0.474769 
0.575217 0.296338 0.536043 
0.503136 0.545872 0.422800 
0.478191 0.366125 0.723734 
0.439040 0.885899 0.140577 
0.172828 0.741246 0.567427 
0.169409 0.659691 0.709352 
0.022269 0.972353 0.712706 
0.178757 0.982508 0.187098 
0.572814 0.258432 0.677341 
0.724462 0.804452 0.124886 
0.823495 0.072401 0.283642 
0.458470 0.539312 0.466440 
0.230955 0.463521 0.751709 
0.055274 0.558264 0.943025 
0.661655 0.664716 0.263457 
0.343238 0.707268 0.506387 
0.559383 0.606539 0.354853 
0.455401 0.391482 0.431716 
0.673955 0.019727 0.874391 
0.734201 0.535698 0.190232 
0.179246 0.563712 0.628257 
0.186863 0.661581 0.721125 
0.251613 0.391865 0.947032 
0.414411 0.220788 0.703135 
0.920083 0.202547 0.216619 
0.276368 0.989271 0.356386 
0.060821 0.910816 0.653660 
0.119316 0.573351 0.876888 
0.277877 0.397918 0.918966 
0.929366 0.152812 0.352983 
0.449390 0.736095 0.464027 
0.763787 0.469796 0.039095 
0.424845 0.560644 0.446319 
0.457314 0.418586 0.482428 
0.588323 0.333127 0.751975 
0.652638 0.284399 0.613386 
0.387267 0.831971 0.469358 
0.706066 0.242287 0.572971 
0.594224 0.669666 0.270345 
0.465562 0.679826 0.385411 
0.859128 0.212361 0.478206 
0.410786 0.741313 0.178979 
0.449133 0.571751 0.354266 
0.759432 0.521125 0.359950 
0.705591 0.206412 0.803890 
0.322534 0.390367 0.759011 
0.691078 0.493704 0.097654 
0.588572 0.525016 0.434966 
0.197679 0.611192 0.667885 
